DATE,SALES
15-05-2023,209
16-05-2023,208
17-05-2023,231
18-05-2023,699
19-05-2023,710
20-05-2023,248
21-05-2023,822
22-05-2023,774
23-05-2023,582
24-05-2023,596
25-05-2023,990
26-05-2023,976
27-05-2023,898
28-05-2023,629
29-05-2023,932
30-05-2023,674
31-05-2023,940
01-06-2023,679
02-06-2023,432
03-06-2023,343
04-06-2023,735
05-06-2023,386
06-06-2023,516
07-06-2023,281
08-06-2023,419
09-06-2023,823
10-06-2023,447
11-06-2023,121
12-06-2023,179
13-06-2023,906
14-06-2023,879
15-06-2023,909
16-06-2023,693
17-06-2023,922
18-06-2023,588
19-06-2023,732
20-06-2023,560
21-06-2023,430
22-06-2023,606
23-06-2023,109
24-06-2023,889
25-06-2023,512
26-06-2023,236
27-06-2023,962
28-06-2023,460
29-06-2023,398
30-06-2023,780
01-07-2023,429
02-07-2023,864
03-07-2023,726
04-07-2023,760
05-07-2023,736
06-07-2023,819
07-07-2023,505
08-07-2023,293
09-07-2023,644
10-07-2023,225
11-07-2023,122
12-07-2023,957
13-07-2023,750
14-07-2023,890
15-07-2023,449
16-07-2023,941
17-07-2023,517
18-07-2023,529
19-07-2023,828
20-07-2023,667
21-07-2023,815
22-07-2023,331
23-07-2023,588
24-07-2023,274
25-07-2023,897
26-07-2023,315
27-07-2023,297
28-07-2023,586
29-07-2023,556
30-07-2023,450
31-07-2023,651
01-08-2023,145
02-08-2023,630
03-08-2023,121
04-08-2023,317
05-08-2023,327
06-08-2023,963
07-08-2023,817
08-08-2023,653
09-08-2023,840
10-08-2023,975
11-08-2023,704
12-08-2023,961
13-08-2023,824
14-08-2023,806
15-08-2023,280
16-08-2023,329
17-08-2023,860
18-08-2023,804
19-08-2023,458
20-08-2023,155
21-08-2023,906
22-08-2023,263
23-08-2023,627
24-08-2023,676
25-08-2023,673
26-08-2023,587
27-08-2023,360
28-08-2023,577
29-08-2023,211
30-08-2023,268
31-08-2023,658
01-09-2023,756
02-09-2023,177
03-09-2023,256
04-09-2023,126
05-09-2023,850
06-09-2023,552
07-09-2023,860
08-09-2023,773
09-09-2023,683
10-09-2023,756
11-09-2023,367
12-09-2023,393
13-09-2023,683
14-09-2023,946
15-09-2023,677
16-09-2023,384
17-09-2023,947
18-09-2023,857
19-09-2023,938
20-09-2023,306
21-09-2023,921
22-09-2023,625
23-09-2023,290
24-09-2023,571
25-09-2023,240
26-09-2023,482
27-09-2023,425
28-09-2023,659
29-09-2023,879
30-09-2023,232
01-10-2023,379
02-10-2023,484
03-10-2023,166
04-10-2023,800
05-10-2023,337
06-10-2023,846
07-10-2023,258
08-10-2023,459
09-10-2023,295
10-10-2023,717
11-10-2023,540
12-10-2023,565
13-10-2023,682
14-10-2023,826
15-10-2023,372
16-10-2023,807
17-10-2023,498
18-10-2023,845
19-10-2023,466
20-10-2023,278
21-10-2023,466
22-10-2023,456
23-10-2023,951
24-10-2023,751
25-10-2023,280
26-10-2023,556
27-10-2023,325
28-10-2023,496
29-10-2023,801
30-10-2023,605
31-10-2023,728
01-11-2023,172
02-11-2023,751
03-11-2023,425
04-11-2023,841
05-11-2023,335
06-11-2023,240
07-11-2023,648
08-11-2023,923
09-11-2023,814
10-11-2023,159
11-11-2023,351
12-11-2023,397
13-11-2023,303
14-11-2023,493
15-11-2023,700
16-11-2023,846
17-11-2023,939
18-11-2023,324
19-11-2023,915
20-11-2023,617
21-11-2023,862
22-11-2023,661
23-11-2023,759
24-11-2023,782
25-11-2023,376
26-11-2023,215
27-11-2023,677
28-11-2023,517
29-11-2023,322
30-11-2023,678
01-12-2023,423
02-12-2023,764
03-12-2023,720
04-12-2023,605
05-12-2023,317
06-12-2023,699
07-12-2023,604
08-12-2023,250
09-12-2023,294
10-12-2023,886
11-12-2023,160
12-12-2023,695
13-12-2023,215
14-12-2023,684
15-12-2023,913
16-12-2023,716
17-12-2023,462
18-12-2023,952
19-12-2023,590
20-12-2023,979
21-12-2023,964
22-12-2023,179
23-12-2023,272
24-12-2023,193
25-12-2023,122
26-12-2023,392
27-12-2023,199
28-12-2023,335
29-12-2023,424
30-12-2023,619
31-12-2023,118
01-01-2024,825
02-01-2024,888
03-01-2024,642
04-01-2024,880
05-01-2024,740
06-01-2024,997
07-01-2024,288
08-01-2024,511
09-01-2024,906
10-01-2024,205
11-01-2024,695
12-01-2024,476
13-01-2024,767
14-01-2024,947
15-01-2024,629
16-01-2024,822
17-01-2024,472
18-01-2024,315
19-01-2024,366
20-01-2024,436
21-01-2024,700
22-01-2024,793
23-01-2024,929
24-01-2024,351
25-01-2024,365
26-01-2024,906
27-01-2024,689
28-01-2024,922
29-01-2024,791
30-01-2024,660
31-01-2024,763
01-02-2024,813
02-02-2024,175
03-02-2024,368
04-02-2024,373
05-02-2024,832
06-02-2024,907
07-02-2024,802
08-02-2024,925
09-02-2024,600
10-02-2024,103
11-02-2024,879
12-02-2024,584
13-02-2024,944
14-02-2024,173
15-02-2024,569
16-02-2024,549
17-02-2024,858
18-02-2024,739
19-02-2024,594
20-02-2024,740
21-02-2024,402
22-02-2024,640
23-02-2024,679
24-02-2024,916
25-02-2024,338
26-02-2024,147
27-02-2024,323
28-02-2024,579
29-02-2024,624
01-03-2024,539
02-03-2024,335
03-03-2024,114
04-03-2024,842
05-03-2024,454
06-03-2024,641
07-03-2024,628
08-03-2024,970
09-03-2024,729
10-03-2024,598
11-03-2024,146
12-03-2024,397
13-03-2024,114
14-03-2024,739
15-03-2024,723
16-03-2024,506
17-03-2024,817
18-03-2024,600
19-03-2024,408
20-03-2024,664
21-03-2024,488
22-03-2024,224
23-03-2024,990
24-03-2024,368
25-03-2024,649
26-03-2024,642
27-03-2024,214
28-03-2024,660
29-03-2024,549
30-03-2024,130
31-03-2024,684
01-04-2024,353
02-04-2024,915
03-04-2024,156
04-04-2024,256
05-04-2024,554
06-04-2024,796
07-04-2024,950
08-04-2024,140
09-04-2024,831
10-04-2024,459
11-04-2024,456
12-04-2024,369
13-04-2024,127
14-04-2024,217
15-04-2024,694
16-04-2024,175
17-04-2024,123
18-04-2024,249
19-04-2024,707
20-04-2024,462
21-04-2024,451
22-04-2024,239
23-04-2024,869
24-04-2024,456
25-04-2024,761
26-04-2024,237
27-04-2024,551
28-04-2024,464
29-04-2024,867
30-04-2024,234
01-05-2024,367
02-05-2024,847
03-05-2024,158
04-05-2024,758
05-05-2024,331
06-05-2024,188
07-05-2024,188
08-05-2024,581
09-05-2024,292
10-05-2024,539
11-05-2024,309
12-05-2024,731
13-05-2024,395
14-05-2024,876
15-05-2024,771
16-05-2024,147
17-05-2024,303
18-05-2024,309
19-05-2024,178
20-05-2024,974
21-05-2024,544
22-05-2024,875
23-05-2024,908
24-05-2024,828
25-05-2024,456
26-05-2024,862
27-05-2024,524
28-05-2024,494
29-05-2024,543
30-05-2024,350
31-05-2024,155
01-06-2024,209
02-06-2024,652
03-06-2024,679
04-06-2024,420
05-06-2024,736
06-06-2024,108
07-06-2024,959
08-06-2024,834
09-06-2024,764
10-06-2024,794
11-06-2024,559
12-06-2024,318
13-06-2024,312
14-06-2024,352
15-06-2024,184
16-06-2024,895
17-06-2024,495
18-06-2024,252
19-06-2024,114
20-06-2024,615
21-06-2024,700
22-06-2024,953
23-06-2024,545
24-06-2024,185
25-06-2024,325
26-06-2024,911
27-06-2024,238
28-06-2024,739
29-06-2024,831
30-06-2024,189
01-07-2024,892
02-07-2024,425
03-07-2024,681
04-07-2024,829
05-07-2024,812
06-07-2024,191
07-07-2024,934
08-07-2024,501
09-07-2024,620
10-07-2024,372
11-07-2024,177
12-07-2024,282
13-07-2024,821
14-07-2024,128
15-07-2024,773
16-07-2024,572
17-07-2024,624
18-07-2024,186
19-07-2024,887
20-07-2024,756
21-07-2024,205
22-07-2024,957
23-07-2024,412
24-07-2024,810
25-07-2024,170
26-07-2024,460
27-07-2024,442
28-07-2024,917
29-07-2024,716
30-07-2024,941
31-07-2024,915
01-08-2024,161
02-08-2024,136
03-08-2024,562
04-08-2024,430
05-08-2024,595
06-08-2024,658
07-08-2024,560
08-08-2024,135
09-08-2024,995
10-08-2024,235
11-08-2024,678
12-08-2024,832
13-08-2024,357
14-08-2024,433
15-08-2024,791
16-08-2024,353
17-08-2024,643
18-08-2024,633
19-08-2024,626
20-08-2024,899
21-08-2024,744
22-08-2024,905
23-08-2024,261
24-08-2024,480
25-08-2024,447
26-08-2024,917
27-08-2024,778
28-08-2024,418
29-08-2024,837
30-08-2024,599
31-08-2024,207
01-09-2024,130
02-09-2024,389
03-09-2024,128
04-09-2024,268
05-09-2024,666
06-09-2024,345
07-09-2024,425
08-09-2024,800
09-09-2024,954
10-09-2024,555
11-09-2024,170
12-09-2024,876
13-09-2024,461
14-09-2024,483
15-09-2024,816
16-09-2024,1000
17-09-2024,875
18-09-2024,322
19-09-2024,744
20-09-2024,512
21-09-2024,516
22-09-2024,380
23-09-2024,908
24-09-2024,710
25-09-2024,562
26-09-2024,262
27-09-2024,909
28-09-2024,140
29-09-2024,488
30-09-2024,664
01-10-2024,919
02-10-2024,783
03-10-2024,194
04-10-2024,471
05-10-2024,122
06-10-2024,643
07-10-2024,505
08-10-2024,418
09-10-2024,565
10-10-2024,209
11-10-2024,146
12-10-2024,241
13-10-2024,703
14-10-2024,589
15-10-2024,315
16-10-2024,206
17-10-2024,958
18-10-2024,706
19-10-2024,779
20-10-2024,523
21-10-2024,626
22-10-2024,867
23-10-2024,871
24-10-2024,801
25-10-2024,362
26-10-2024,941
27-10-2024,617
28-10-2024,979
29-10-2024,639
30-10-2024,436
31-10-2024,799
01-11-2024,464
02-11-2024,217
03-11-2024,969
04-11-2024,139
05-11-2024,683
06-11-2024,521
07-11-2024,392
08-11-2024,251
09-11-2024,612
10-11-2024,866
11-11-2024,165
12-11-2024,467
13-11-2024,725
14-11-2024,697
15-11-2024,202
16-11-2024,911
17-11-2024,755
18-11-2024,612
19-11-2024,714
20-11-2024,533
21-11-2024,384
22-11-2024,551
23-11-2024,799
24-11-2024,509
25-11-2024,262
26-11-2024,994
27-11-2024,618
28-11-2024,125
29-11-2024,205
30-11-2024,725
01-12-2024,583
02-12-2024,207
03-12-2024,185
04-12-2024,371
05-12-2024,420
06-12-2024,851
07-12-2024,879
08-12-2024,527
09-12-2024,130
10-12-2024,415
11-12-2024,389
12-12-2024,448
13-12-2024,213
14-12-2024,958
15-12-2024,116
16-12-2024,310
17-12-2024,338
18-12-2024,528
19-12-2024,171
20-12-2024,688
21-12-2024,510
22-12-2024,501
23-12-2024,447
24-12-2024,891
25-12-2024,522
26-12-2024,879
27-12-2024,170
28-12-2024,849
29-12-2024,785
30-12-2024,699
31-12-2024,354
