Category,Age,Gender,Quantity,Region,DATE,SALES
Furniture,61,Male,6,West,2021-04-28,6192
Toys,19,Male,3,South,2021-08-25,4935
Electronics,55,Male,9,North,2023-12-21,7848
Groceries,27,Male,4,North,2022-12-19,3824
Furniture,38,Female,3,South,2021-03-25,1596
Clothing,33,Male,9,East,2020-11-17,3240
Groceries,41,Male,5,East,2020-12-05,8410
Electronics,38,Female,7,West,2022-11-17,12831
Electronics,64,Male,10,East,2021-08-06,13880
Groceries,64,Female,3,North,2023-04-14,4383
Electronics,54,Female,8,North,2022-06-24,7712
Electronics,52,Female,3,South,2020-04-18,4743
Toys,34,Male,4,South,2023-11-02,5184
Clothing,34,Female,3,East,2020-01-02,4470
Electronics,34,Male,5,North,2023-01-11,7985
Groceries,38,Male,7,West,2021-08-25,12306
Electronics,45,Female,2,West,2022-12-08,1716
Toys,37,Female,8,West,2022-04-16,2040
Clothing,29,Male,4,South,2021-05-06,4528
Beauty,54,Female,2,West,2020-02-14,1754
Electronics,62,Female,8,South,2023-05-14,12824
Toys,22,Female,7,North,2021-01-26,3829
Beauty,49,Female,8,North,2020-07-01,9496
Electronics,32,Male,10,South,2021-05-16,13580
Beauty,21,Female,5,West,2021-01-14,4915
Clothing,32,Male,5,East,2023-12-08,8635
Clothing,45,Male,3,North,2021-04-29,2043
Furniture,39,Female,3,West,2020-12-31,4122
Groceries,29,Female,10,South,2022-10-19,18160
Electronics,45,Male,8,North,2020-10-23,9832
Furniture,50,Male,4,West,2023-10-24,6884
Groceries,45,Female,5,East,2023-09-02,4830
Clothing,24,Male,2,West,2021-01-11,322
Toys,40,Female,8,East,2021-06-22,9136
Clothing,20,Male,10,West,2022-02-09,11690
Groceries,62,Female,8,North,2020-12-08,13472
Groceries,48,Female,6,South,2023-12-12,1602
Furniture,54,Female,6,East,2023-12-22,1740
Clothing,40,Male,3,South,2020-04-16,4770
Furniture,43,Male,9,East,2021-09-09,3735
Clothing,31,Male,2,East,2022-11-11,1132
Beauty,64,Male,2,East,2020-10-15,2316
Groceries,24,Male,9,East,2022-08-21,3537
Clothing,59,Male,2,South,2022-07-03,1008
Furniture,45,Female,7,West,2022-08-01,13552
Furniture,37,Female,3,South,2023-03-06,1422
Electronics,32,Female,2,South,2021-09-18,1102
Toys,28,Female,7,West,2020-06-27,2954
Furniture,40,Female,8,South,2023-01-12,13584
Beauty,52,Male,4,East,2023-01-25,7672
Clothing,52,Female,3,East,2021-02-18,3324
Furniture,62,Male,8,East,2023-06-27,9816
Beauty,49,Female,3,South,2021-02-07,2208
Clothing,53,Male,7,West,2020-04-20,1820
Electronics,64,Male,1,West,2023-01-31,530
Furniture,47,Female,10,North,2020-02-02,2280
Beauty,59,Female,6,North,2022-11-26,2988
Furniture,31,Male,4,South,2020-02-21,7612
Clothing,24,Male,5,South,2021-05-10,3795
Toys,26,Female,5,East,2021-10-08,6525
Furniture,56,Male,10,North,2022-08-06,9420
Beauty,41,Female,1,East,2020-08-17,580
Beauty,32,Female,10,North,2020-10-05,1110
Electronics,28,Female,8,North,2021-03-25,13384
Electronics,23,Female,6,South,2020-03-23,7596
Groceries,58,Female,2,North,2024-01-06,2866
Furniture,28,Male,7,North,2022-07-27,13657
Clothing,65,Male,6,South,2022-07-19,11454
Toys,59,Female,6,South,2020-05-29,9702
Clothing,27,Male,5,South,2023-12-06,2775
Clothing,52,Female,7,North,2023-10-05,7168
Beauty,65,Male,5,East,2022-04-23,2165
Toys,18,Female,10,South,2021-09-05,16900
Beauty,43,Male,10,West,2022-08-12,4190
Clothing,59,Female,1,North,2023-01-27,1951
Clothing,46,Female,2,North,2023-07-26,2232
Furniture,23,Male,10,East,2021-12-26,13600
Furniture,18,Female,6,West,2023-12-17,7470
Toys,22,Female,10,North,2023-06-25,11780
Toys,51,Male,2,East,2023-10-03,1532
Beauty,30,Male,8,North,2021-11-09,4336
Toys,36,Male,4,South,2021-05-19,3496
Groceries,25,Female,7,West,2020-06-16,9758
Beauty,21,Male,7,East,2022-01-14,12985
Clothing,27,Male,9,West,2020-09-07,15795
Toys,27,Female,10,East,2023-12-27,3310
Toys,19,Female,1,North,2021-09-16,1302
Beauty,48,Female,3,North,2020-10-21,4383
Electronics,22,Female,1,West,2020-03-13,1386
Furniture,22,Male,2,South,2022-01-16,1932
Clothing,64,Male,6,South,2023-02-28,5772
Groceries,56,Female,6,South,2020-11-29,9138
Beauty,29,Male,7,North,2023-11-26,7140
Clothing,32,Female,5,North,2021-07-16,6150
Toys,41,Female,9,South,2021-08-10,2727
Beauty,48,Male,1,East,2022-03-28,1522
Clothing,23,Male,2,West,2020-12-16,1154
Electronics,58,Female,5,West,2023-09-29,7070
Groceries,37,Female,8,East,2020-10-14,8984
Furniture,45,Male,4,North,2022-02-13,7572
Groceries,18,Male,4,North,2022-01-26,5616
Toys,52,Female,7,North,2023-09-15,6160
Toys,65,Male,1,West,2022-08-15,1503
Furniture,33,Male,5,West,2022-01-13,795
Electronics,53,Female,3,East,2021-05-19,5967
Clothing,43,Female,1,North,2020-05-14,206
Clothing,45,Male,5,West,2022-12-21,5875
Beauty,39,Male,9,South,2021-09-04,15372
Toys,30,Female,7,West,2020-01-08,13174
Groceries,18,Female,7,East,2022-03-10,8057
Electronics,26,Male,8,West,2023-02-19,10200
Toys,23,Female,3,West,2020-11-16,3489
Clothing,65,Female,10,West,2020-07-18,15450
Groceries,41,Female,3,North,2022-10-11,810
Toys,48,Male,5,North,2022-01-29,4455
Groceries,21,Female,5,South,2020-06-29,4730
Furniture,43,Female,6,East,2021-07-21,3810
Clothing,25,Female,9,West,2023-02-09,9603
Toys,49,Female,7,West,2023-01-11,10948
Toys,60,Male,5,East,2020-11-04,8775
Electronics,37,Female,1,West,2020-01-30,170
Furniture,21,Male,4,South,2020-09-25,2604
Groceries,43,Female,10,North,2022-05-26,14700
Groceries,59,Male,10,West,2021-04-12,7790
Toys,34,Male,5,North,2023-10-11,2720
Electronics,33,Female,8,East,2022-06-17,10376
Beauty,52,Female,10,East,2022-03-06,4540
Electronics,43,Male,3,East,2020-07-15,2952
Electronics,36,Female,9,West,2020-08-29,10809
Electronics,33,Female,2,East,2021-11-03,2440
Beauty,43,Male,8,North,2021-06-11,9048
Toys,36,Female,10,North,2020-01-11,18350
Groceries,56,Female,8,South,2020-06-18,2912
Groceries,36,Male,4,West,2020-06-26,2720
Beauty,46,Female,8,South,2022-02-13,8504
Beauty,51,Female,5,West,2021-06-27,6030
Beauty,64,Male,1,North,2020-10-20,545
Beauty,46,Female,9,East,2022-10-11,3690
Beauty,65,Female,9,North,2021-11-19,16092
Clothing,42,Male,5,North,2020-10-15,5650
Toys,24,Male,5,North,2020-05-08,7935
Groceries,42,Female,4,North,2022-09-01,6976
Groceries,64,Female,6,North,2022-06-26,3042
Groceries,59,Male,8,East,2021-06-13,15448
Electronics,53,Male,10,North,2022-07-30,16810
Clothing,31,Female,8,South,2022-06-06,11224
Groceries,59,Male,9,East,2021-04-03,9819
Beauty,51,Male,1,South,2020-09-21,1457
Furniture,24,Female,10,North,2023-01-12,3290
