State,District,Year,Crime_Type,Total_Cases,Solved_Cases,Unsolved_Cases,Crime_Rate (per lakh),Population,Gender,Time_of_Crime
Rajasthan,Jaipur,2024,Theft,2600,1040,1560,65.00,4000000,Male,Evening
Rajasthan,Jaipur,2020,Kidnapping,100,70,30,2.50,4000000,Female,Night
Rajasthan,Jaipur,2021,Kidnapping,110,77,33,2.75,4000000,Female,Night
Rajasthan,Jaipur,2022,Kidnapping,90,63,27,2.25,4000000,Female,Night
Rajasthan,Jaipur,2023,Kidnapping,120,84,36,3.00,4000000,Female,Night
Rajasthan,Jaipur,2024,Kidnapping,130,91,39,3.25,4000000,Female,Night
Rajasthan,Jodhpur,2020,Murder,80,56,24,2.00,4000000,Male,Night
Rajasthan,Jodhpur,2021,Murder,70,49,21,1.75,4000000,Male,Night
Rajasthan,Jodhpur,2022,Murder,90,63,27,2.25,4000000,Male,Night
Rajasthan,Jodhpur,2023,Murder,60,42,18,1.50,4000000,Male,Night
Rajasthan,Jodhpur,2024,Murder,100,70,30,2.50,4000000,Male,Night
Rajasthan,Jodhpur,2020,Assault,900,630,270,22.50,4000000,Female,Day
Rajasthan,Jodhpur,2021,Assault,1000,700,300,25.00,4000000,Female,Day
Rajasthan,Jodhpur,2022,Assault,850,595,255,21.25,4000000,Female,Day
Rajasthan,Jodhpur,2023,Assault,1100,770,330,27.50,4000000,Female,Day
Rajasthan,Jodhpur,2024,Assault,1200,840,360,30.00,4000000,Female,Day
Andhra Pradesh,Hyderabad,2020,Theft,2800,1400,1400,70.00,4000000,Male,Evening
Andhra Pradesh,Hyderabad,2021,Theft,3000,1500,1500,75.00,4000000,Male,Evening
Andhra Pradesh,Hyderabad,2022,Theft,2700,1350,1350,67.50,4000000,Male,Evening
Andhra Pradesh,Hyderabad,2023,Theft,3200,1600,1600,80.00,4000000,Male,Evening
Andhra Pradesh,Hyderabad,2024,Theft,3400,1700,1700,85.00,4000000,Male,Evening
Andhra Pradesh,Hyderabad,2020,Cyber Crime,700,280,420,17.50,4000000,Both,Day
Andhra Pradesh,Hyderabad,2021,Cyber Crime,900,360,540,22.50,4000000,Both,Day
Andhra Pradesh,Hyderabad,2022,Cyber Crime,1100,440,660,27.50,4000000,Both,Day
Andhra Pradesh,Hyderabad,2023,Cyber Crime,1300,520,780,32.50,4000000,Both,Day
Andhra Pradesh,Hyderabad,2024,Cyber Crime,1500,600,900,37.50,4000000,Both,Day
Andhra Pradesh,Visakhapatnam,2020,Murder,90,63,27,2.25,4000000,Male,Night
Andhra Pradesh,Visakhapatnam,2021,Murder,80,56,24,2.00,4000000,Male,Night
Andhra Pradesh,Visakhapatnam,2022,Murder,100,70,30,2.50,4000000,Male,Night
Andhra Pradesh,Visakhapatnam,2023,Murder,70,49,21,1.75,4000000,Male,Night
Andhra Pradesh,Visakhapatnam,2024,Murder,110,77,33,2.75,4000000,Male,Night
Andhra Pradesh,Visakhapatnam,2020,Assault,1200,840,360,30.00,4000000,Female,Day
Andhra Pradesh,Visakhapatnam,2021,Assault,1350,945,405,33.75,4000000,Female,Day
Andhra Pradesh,Visakhapatnam,2022,Assault,1100,770,330,27.50,4000000,Female,Day
Andhra Pradesh,Visakhapatnam,2023,Assault,1450,1015,435,36.25,4000000,Female,Day
Andhra Pradesh,Visakhapatnam,2024,Assault,1500,1050,450,37.50,4000000,Female,Day
Punjab,Amritsar,2020,Theft,1500,750,750,37.50,4000000,Male,Evening
Punjab,Amritsar,2021,Theft,1650,825,825,41.25,4000000,Male,Evening
Punjab,Amritsar,2022,Theft,1400,700,700,35.00,4000000,Male,Evening
Punjab,Amritsar,2023,Theft,1750,875,875,43.75,4000000,Male,Evening
Punjab,Amritsar,2024,Theft,1850,925,925,46.25,4000000,Male,Evening
Punjab,Amritsar,2020,Kidnapping,70,49,21,1.75,4000000,Female,Night
Punjab,Amritsar,2021,Kidnapping,60,42,18,1.50,4000000,Female,Night
Punjab,Amritsar,2022,Kidnapping,80,56,24,2.00,4000000,Female,Night
Punjab,Amritsar,2023,Kidnapping,90,63,27,2.25,4000000,Female,Night
Punjab,Amritsar,2024,Kidnapping,100,70,30,2.50,4000000,Female,Night
Punjab,Ludhiana,2020,Murder,60,42,18,1.50,4000000,Male,Night
Punjab,Ludhiana,2021,Murder,50,35,15,1.25,4000000,Male,Night
Punjab,Ludhiana,2022,Murder,70,49,21,1.75,4000000,Male,Night
Punjab,Ludhiana,2023,Murder,40,28,12,1.00,4000000,Male,Night
Punjab,Ludhiana,2024,Murder,80,56,24,2.00,4000000,Male,Night
Punjab,Ludhiana,2020,Assault,800,560,240,20.00,4000000,Female,Day
Punjab,Ludhiana,2021,Assault,900,630,270,22.50,4000000,Female,Day
Punjab,Ludhiana,2022,Assault,750,525,225,18.75,4000000,Female,Day
Punjab,Ludhiana,2023,Assault,1000,700,300,25.00,4000000,Female,Day
Punjab,Ludhiana,2024,Assault,1100,770,330,27.50,4000000,Female,Day
Kerala,Kochi,2020,Theft,1200,720,480,30.00,4000000,Male,Evening
Kerala,Kochi,2021,Theft,1350,810,540,33.75,4000000,Male,Evening
Kerala,Kochi,2022,Theft,1100,660,440,27.50,4000000,Male,Evening
Kerala,Kochi,2023,Theft,1450,870,580,36.25,4000000,Male,Evening
Kerala,Kochi,2024,Theft,1500,900,600,37.50,4000000,Male,Evening
Kerala,Kochi,2020,Cyber Crime,300,150,150,7.50,4000000,Both,Day
Kerala,Kochi,2021,Cyber Crime,400,200,200,10.00,4000000,Both,Day
Kerala,Kochi,2022,Cyber Crime,500,250,250,12.50,4000000,Both,Day
Kerala,Kochi,2023,Cyber Crime,600,300,300,15.00,4000000,Both,Day
Kerala,Kochi,2024,Cyber Crime,700,350,350,17.50,4000000,Both,Day
Kerala,Thiruvananthapuram,2020,Murder,50,35,15,1.25,4000000,Male,Night
Kerala,Thiruvananthapuram,2021,Murder,40,28,12,1.00,4000000,Male,Night
Kerala,Thiruvananthapuram,2022,Murder,60,42,18,1.50,4000000,Male,Night
Kerala,Thiruvananthapuram,2023,Murder,30,21,9,0.75,4000000,Male,Night
Kerala,Thiruvananthapuram,2024,Murder,70,49,21,1.75,4000000,Male,Night
Kerala,Thiruvananthapuram,2020,Kidnapping,40,28,12,1.00,4000000,Female,Night
Kerala,Thiruvananthapuram,2021,Kidnapping,35,24,11,0.88,4000000,Female,Night
Kerala,Thiruvananthapuram,2022,Kidnapping,45,31,14,1.13,4000000,Female,Night
Kerala,Thiruvananthapuram,2023,Kidnapping,50,35,15,1.25,4000000,Female,Night
Kerala,Thiruvananthapuram,2024,Kidnapping,55,38,17,1.38,4000000,Female,Night
Bihar,Patna,2020,Theft,2400,720,1680,60.00,4000000,Male,Evening
Bihar,Patna,2021,Theft,2600,780,1820,65.00,4000000,Male,Evening
Bihar,Patna,2022,Theft,2300,690,1610,57.50,4000000,Male,Evening
Bihar,Patna,2023,Theft,2800,840,1960,70.00,4000000,Male,Evening
Bihar,Patna,2024,Theft,3000,900,2100,75.00,4000000,Male,Evening
Bihar,Patna,2020,Murder,200,120,80,5.00,4000000,Male,Night
Bihar,Patna,2021,Murder,190,114,76,4.75,4000000,Male,Night
Bihar,Patna,2022,Murder,210,126,84,5.25,4000000,Male,Night
Bihar,Patna,2023,Murder,180,108,72,4.50,4000000,Male,Night
Bihar,Patna,2024,Murder,220,132,88,5.50,4000000,Male,Night
Bihar,Gaya,2020,Kidnapping,150,90,60,3.75,4000000,Female,Night
Bihar,Gaya,2021,Kidnapping,140,84,56,3.50,4000000,Female,Night
Bihar,Gaya,2022,Kidnapping,160,96,64,4.00,4000000,Female,Night
Bihar,Gaya,2023,Kidnapping,130,78,52,3.25,4000000,Female,Night
Bihar,Gaya,2024,Kidnapping,170,102,68,4.25,4000000,Female,Night
Bihar,Gaya,2020,Assault,1100,770,330,27.50,4000000,Female,Day
Bihar,Gaya,2021,Assault,1250,875,375,31.25,4000000,Female,Day
Bihar,Gaya,2022,Assault,1050,735,315,26.25,4000000,Female,Day
Bihar,Gaya,2023,Assault,1350,945,405,33.75,4000000,Female,Day
Bihar,Gaya,2024,Assault,1400,980,420,35.00,4000000,Female,Day
Assam,Guwahati,2020,Theft,1000,500,500,25.00,4000000,Male,Evening
Assam,Guwahati,2021,Theft,1100,550,550,27.50,4000000,Male,Evening
Assam,Guwahati,2022,Theft,900,450,450,22.50,4000000,Male,Evening
Assam,Guwahati,2023,Theft,1200,600,600,30.00,4000000,Male,Evening
Assam,Guwahati,2024,Theft,1300,650,650,32.50,4000000,Male,Evening
Assam,Guwahati,2020,Assault,500,350,150,12.50,4000000,Female,Day
Assam,Guwahati,2021,Assault,550,385,165,13.75,4000000,Female,Day
Assam,Guwahati,2022,Assault,450,315,135,11.25,4000000,Female,Day
Assam,Guwahati,2023,Assault,600,420,180,15.00,4000000,Female,Day
Assam,Guwahati,2024,Assault,650,455,195,16.25,4000000,Female,Day
