Student_ID,Gender,Degree,Specialization,College,Year_of_Passout,CGPA,Internships,Certifications,Skills,Employment_Status,Job_Role,Company_Type,Salary,Location
S038,Male,B.Sc,Physics,Govt College,2021,6.9,Yes,No,"Python, Excel, HTML",Unemployed,NA,NA,0,Coimbatore
S039,Female,BCA,Networking,Sunrise College,2021,6.2,No,Yes,SQL,Unemployed,NA,NA,0,Mumbai
S040,Male,MBA,Marketing,ABC College,2024,5.9,Yes,Yes,"AI, AutoCAD",Employed,Financial Analyst,NGO,251966,Delhi
S041,Female,B.Tech,EEE,Govt College,2020,5.7,No,No,"Content Writing, Tally",Unemployed,NA,NA,0,Patna
S042,Female,B.Sc,Mathematics,XYZ Engineering,2024,7.2,Yes,Yes,"ML, HTML",Employed,Software Engineer,Private,619863,Lucknow
S043,Male,BCA,Software,City College,2021,9.0,Yes,No,Python,Unemployed,NA,NA,0,Lucknow
S044,Male,MBA,Marketing,ABC College,2020,6.5,Yes,No,Embedded Systems,Unemployed,NA,NA,0,Jaipur
S045,Female,B.Com,Taxation,Elite Institute,2021,5.9,No,No,"HTML, Content Writing",Unemployed,NA,NA,0,Patna
S046,Male,B.Com,Taxation,XYZ Engineering,2022,8.8,Yes,Yes,Content Writing,Unemployed,NA,NA,0,Coimbatore
S047,Male,MBA,HR,Elite Institute,2024,8.2,No,No,"HTML, Financial Modeling",Unemployed,NA,NA,0,Kolkata
S048,Male,B.Com,Taxation,City College,2020,8.9,No,Yes,SQL,Unemployed,NA,NA,0,Lucknow
S049,Male,BCA,Networking,Tech University,2021,8.8,No,No,CSS,Unemployed,NA,NA,0,Delhi
S050,Male,B.Com,Accounting,Elite Institute,2023,8.2,Yes,No,"Financial Modeling, CSS",Unemployed,NA,NA,0,Guntur
S051,Male,MBA,HR,XYZ Engineering,2021,5.3,Yes,No,"HTML, AI",Employed,Electrical Engineer,NGO,751258,Pune
S052,Male,BCA,Software,XYZ Engineering,2020,6.2,No,No,CSS,Employed,ML Engineer,Private,620571,Delhi
S053,Male,MBA,HR,ABC College,2024,5.5,No,Yes,"CSS, AI",Unemployed,NA,NA,0,Guntur
S054,Male,BCA,Software,Sunrise College,2022,7.4,Yes,No,"SQL, Financial Modeling, Power BI",Unemployed,NA,NA,0,Chennai
S055,Female,BCA,Software,XYZ Engineering,2024,8.2,Yes,Yes,Content Writing,Unemployed,NA,NA,0,Mumbai
S056,Female,BCA,Software,Elite Institute,2024,6.0,Yes,Yes,"Embedded Systems, Power BI",Unemployed,NA,NA,0,Patna
S057,Male,B.Sc,Mathematics,Tech University,2021,5.2,Yes,No,"Embedded Systems, JavaScript, Power BI",Unemployed,NA,NA,0,Pune
S058,Female,B.Com,Accounting,XYZ Engineering,2023,6.0,Yes,Yes,"AutoCAD, AI, JavaScript",Unemployed,NA,NA,0,Jaipur
S059,Male,B.Sc,Chemistry,Elite Institute,2023,5.3,Yes,Yes,"SQL, JavaScript",Unemployed,NA,NA,0,Mumbai
S060,Male,B.Com,Taxation,City College,2022,8.2,No,Yes,"AutoCAD, Embedded Systems",Unemployed,NA,NA,0,Hyderabad
S061,Male,MBA,Finance,City College,2022,5.7,Yes,No,"JavaScript, Embedded Systems",Unemployed,NA,NA,0,Vizag
S062,Female,BA,History,ABC College,2024,9.4,Yes,No,"AI, Embedded Systems",Unemployed,NA,NA,0,Delhi
S063,Male,MBA,Operations,City College,2023,9.5,No,No,CSS,Unemployed,NA,NA,0,Chennai
S064,Female,BCA,Software,ABC College,2023,6.5,No,No,Excel,Employed,HR Executive,Private,676455,Hyderabad
S065,Male,BCA,Networking,Govt College,2021,8.4,Yes,No,Content Writing,Unemployed,NA,NA,0,Varanasi
S066,Female,B.Tech,Civil,Elite Institute,2021,7.0,No,No,"Content Writing, Embedded Systems, HTML",Employed,Content Writer,Private,760382,Guntur
S067,Female,MBA,Finance,ABC College,2020,5.1,No,No,"Excel, SQL, Python",Unemployed,NA,NA,0,Vizag
S068,Male,BA,History,ABC College,2021,8.2,No,No,SQL,Unemployed,NA,NA,0,Mumbai
S069,Female,B.Com,Taxation,Sunrise College,2020,9.2,Yes,No,"Tally, Power BI",Unemployed,NA,NA,0,Bangalore
S070,Female,MBA,Finance,Sunrise College,2022,8.1,Yes,Yes,"Content Writing, Financial Modeling, Excel",Unemployed,NA,NA,0,Pune
S071,Female,BA,Economics,Elite Institute,2022,8.9,No,Yes,"CSS, SQL, HTML",Unemployed,NA,NA,0,Lucknow
S072,Female,BA,Economics,Sunrise College,2021,6.5,Yes,No,"Tally, SQL, CSS",Unemployed,NA,NA,0,Hyderabad
S073,Female,MBA,Marketing,City College,2020,7.3,Yes,Yes,AI,Unemployed,NA,NA,0,Patna
S074,Male,MBA,Marketing,Elite Institute,2021,9.4,Yes,Yes,"Power BI, Python, Tally",Unemployed,NA,NA,0,Jaipur
S075,Male,BCA,Networking,ABC College,2021,5.8,No,Yes,Content Writing,Unemployed,NA,NA,0,Vizag
S076,Female,MBA,HR,Sunrise College,2021,7.0,Yes,No,"ML, JavaScript",Employed,Content Writer,MNC,878705,Hyderabad
S077,Female,BA,Economics,Elite Institute,2023,9.0,Yes,No,Content Writing,Employed,ML Engineer,Private,675742,Patna
S078,Male,B.Sc,Chemistry,Sunrise College,2022,8.3,No,No,HTML,Unemployed,NA,NA,0,Kolkata
S079,Female,BA,History,Elite Institute,2021,6.7,Yes,Yes,"Power BI, CSS",Unemployed,NA,NA,0,Coimbatore
S080,Male,BA,Psychology,ABC College,2021,6.1,Yes,Yes,Financial Modeling,Unemployed,NA,NA,0,Delhi
S081,Female,B.Sc,Computer Science,XYZ Engineering,2022,8.2,No,Yes,"Financial Modeling, HTML, Excel",Employed,Software Engineer,NGO,538106,Mumbai
S082,Female,B.Sc,Computer Science,ABC College,2022,7.1,No,Yes,"Python, HTML",Employed,Research Assistant,NGO,679848,Bangalore
S083,Male,B.Sc,Chemistry,Govt College,2021,7.2,No,Yes,"Content Writing, CSS, JavaScript",Unemployed,NA,NA,0,Varanasi
S084,Male,B.Com,Finance,ABC College,2021,9.0,Yes,Yes,"AutoCAD, Financial Modeling",Unemployed,NA,NA,0,Varanasi
S085,Female,B.Tech,AI & ML,Govt College,2023,7.6,Yes,Yes,SQL,Employed,HR Executive,MNC,673579,Indore
S086,Male,BCA,Networking,ABC College,2020,6.7,No,Yes,"ML, Content Writing",Unemployed,NA,NA,0,Kolkata
S087,Male,BCA,IT,ABC College,2020,9.0,No,Yes,"Content Writing, Tally, AI",Unemployed,NA,NA,0,Patna
S088,Male,B.Sc,Physics,XYZ Engineering,2021,7.0,Yes,Yes,"SQL, AI",Unemployed,NA,NA,0,Indore
S089,Female,B.Com,Taxation,Tech University,2024,5.9,Yes,No,"Power BI, AI",Unemployed,NA,NA,0,Pune
S090,Female,B.Sc,Mathematics,Elite Institute,2023,6.3,No,Yes,Embedded Systems,Unemployed,NA,NA,0,Indore
S091,Female,B.Tech,ECE,Tech University,2023,8.0,No,Yes,"Excel, Content Writing",Employed,Electrical Engineer,Private,913849,Kolkata
S092,Female,BA,Psychology,Elite Institute,2024,5.1,No,Yes,HTML,Employed,HR Executive,Private,338406,Vizag
S093,Male,B.Com,Taxation,Tech University,2022,6.1,No,No,"HTML, JavaScript",Unemployed,NA,NA,0,Patna
S094,Male,B.Tech,AI & ML,Tech University,2021,9.0,No,No,"Tally, Content Writing, CSS",Unemployed,NA,NA,0,Coimbatore
S095,Male,B.Com,Accounting,City College,2021,5.6,No,No,"AutoCAD, SQL",Employed,Data Analyst,NGO,905912,Kolkata
S096,Female,B.Tech,Computer Science,City College,2023,8.0,Yes,No,Financial Modeling,Employed,Web Developer,Private,601597,Jaipur
S097,Female,MBA,Finance,Govt College,2022,8.0,Yes,Yes,Power BI,Employed,Electrical Engineer,MNC,444991,Bangalore
S098,Female,B.Com,Accounting,City College,2023,6.8,Yes,Yes,Financial Modeling,Unemployed,NA,NA,0,Patna
S099,Male,BCA,IT,Elite Institute,2024,8.8,Yes,Yes,Content Writing,Unemployed,NA,NA,0,Indore
S100,Female,B.Com,Taxation,City College,2021,6.5,No,Yes,"Content Writing, AutoCAD, CSS",Unemployed,NA,NA,0,Jaipur
S101,Female,BA,Psychology,Elite Institute,2022,6.5,No,No,HTML,Unemployed,NA,NA,0,Mumbai
S102,Male,BA,Psychology,ABC College,2023,6.2,Yes,No,"Excel, Tally",Unemployed,NA,NA,0,Pune
S103,Female,B.Sc,Physics,Govt College,2020,7.4,Yes,No,"HTML, JavaScript, Content Writing",Unemployed,NA,NA,0,Lucknow
S104,Female,BCA,Software,ABC College,2022,8.5,Yes,Yes,"ML, HTML, Embedded Systems",Unemployed,NA,NA,0,Varanasi
S105,Female,B.Com,Accounting,City College,2022,8.2,No,Yes,"Excel, AutoCAD",Unemployed,NA,NA,0,Coimbatore
S106,Male,BA,History,Govt College,2021,7.7,Yes,No,"HTML, ML",Employed,Marketing Executive,NGO,1153612,Hyderabad
S107,Female,MBA,Marketing,XYZ Engineering,2021,8.7,Yes,Yes,Python,Unemployed,NA,NA,0,Kolkata
S108,Female,BA,History,City College,2020,5.3,No,Yes,HTML,Unemployed,NA,NA,0,Guntur
S109,Female,B.Tech,ECE,City College,2020,5.0,Yes,Yes,"Content Writing, Financial Modeling",Employed,Web Developer,Startup,256578,Jaipur
S110,Female,B.Com,Finance,City College,2023,5.4,Yes,Yes,Power BI,Unemployed,NA,NA,0,Mumbai
S111,Female,MBA,Finance,XYZ Engineering,2023,8.5,Yes,Yes,"JavaScript, CSS, Python",Unemployed,NA,NA,0,Hyderabad
S112,Female,B.Tech,ECE,XYZ Engineering,2023,7.4,No,No,"HTML, SQL",Employed,Electrical Engineer,Startup,935529,Kolkata
S113,Female,MBA,HR,XYZ Engineering,2024,5.2,No,No,"CSS, Tally, Python",Unemployed,NA,NA,0,Kolkata
S114,Female,BCA,Networking,XYZ Engineering,2021,7.1,No,No,Python,Employed,Financial Analyst,Private,833213,Varanasi
S115,Male,BA,History,XYZ Engineering,2023,6.1,Yes,No,Embedded Systems,Employed,Electrical Engineer,Private,1129684,Vizag
S116,Female,BA,English,XYZ Engineering,2021,8.2,Yes,No,Excel,Unemployed,NA,NA,0,Chennai
S117,Female,BA,History,Elite Institute,2020,7.3,No,Yes,"CSS, Content Writing",Employed,Content Writer,MNC,897317,Varanasi
S118,Male,B.Tech,Data Science,XYZ Engineering,2020,6.4,No,No,Python,Unemployed,NA,NA,0,Guntur
S119,Female,MBA,HR,Sunrise College,2021,7.4,No,Yes,"Tally, HTML",Employed,Accountant,NGO,521340,Jaipur
S120,Female,B.Com,Taxation,Elite Institute,2023,5.7,No,Yes,Tally,Unemployed,NA,NA,0,Guntur
S121,Male,MBA,Marketing,City College,2023,5.7,Yes,Yes,CSS,Unemployed,NA,NA,0,Kolkata
S122,Male,B.Sc,Mathematics,City College,2021,9.3,Yes,No,"ML, Tally",Unemployed,NA,NA,0,Pune
S123,Male,BA,Economics,Govt College,2023,7.1,No,Yes,"AutoCAD, JavaScript",Unemployed,NA,NA,0,Vizag
S124,Male,B.Tech,Civil,ABC College,2020,5.6,No,Yes,"AutoCAD, Python",Unemployed,NA,NA,0,Coimbatore
S125,Female,BCA,Software,XYZ Engineering,2021,8.4,No,Yes,"Content Writing, CSS",Employed,Data Analyst,Private,997155,Guntur
S126,Female,MBA,HR,Tech University,2022,9.2,Yes,Yes,AI,Employed,Content Writer,Startup,846395,Hyderabad
S127,Female,BA,English,City College,2024,6.7,No,Yes,HTML,Employed,Financial Analyst,Private,246444,Mumbai
S128,Female,BA,Economics,Tech University,2024,7.0,No,Yes,Content Writing,Unemployed,NA,NA,0,Vizag
S129,Male,MBA,Operations,Govt College,2024,7.7,Yes,No,"HTML, SQL",Unemployed,NA,NA,0,Coimbatore
S130,Female,B.Sc,Physics,Sunrise College,2023,5.3,No,Yes,Python,Unemployed,NA,NA,0,Guntur
S131,Female,B.Com,Taxation,Sunrise College,2021,9.1,No,Yes,HTML,Employed,Marketing Executive,Private,248927,Kolkata
S132,Female,B.Sc,Physics,Tech University,2024,6.3,Yes,Yes,"AI, Financial Modeling",Employed,Software Engineer,Private,762328,Bangalore
S133,Male,BA,English,Sunrise College,2020,7.6,No,Yes,"Tally, Content Writing, SQL",Unemployed,NA,NA,0,Jaipur
S134,Male,B.Sc,Physics,Elite Institute,2023,7.4,Yes,No,"HTML, JavaScript",Unemployed,NA,NA,0,Varanasi
S135,Female,B.Com,Accounting,Sunrise College,2022,8.0,Yes,No,"Excel, SQL, HTML",Employed,HR Executive,MNC,816441,Bangalore
S136,Male,MBA,HR,Tech University,2024,8.8,Yes,Yes,"ML, Power BI",Employed,Electrical Engineer,Private,398900,Kolkata
S137,Female,B.Com,Finance,Sunrise College,2021,7.9,Yes,Yes,"Content Writing, SQL, AutoCAD",Employed,Financial Analyst,Startup,685791,Indore
S138,Male,B.Com,Accounting,Elite Institute,2020,8.9,No,No,"CSS, Tally",Employed,Software Engineer,Startup,312488,Vizag
S139,Male,B.Tech,Mechanical,Tech University,2024,6.3,Yes,Yes,"AutoCAD, Embedded Systems, JavaScript",Unemployed,NA,NA,0,Delhi
S140,Male,B.Com,Accounting,ABC College,2023,6.3,Yes,Yes,"Power BI, Excel",Unemployed,NA,NA,0,Kolkata
S141,Male,B.Sc,Mathematics,ABC College,2023,8.9,Yes,Yes,"Python, ML, JavaScript",Unemployed,NA,NA,0,Coimbatore
S142,Female,BCA,Networking,Tech University,2021,7.8,No,No,"Financial Modeling, SQL, ML",Employed,Web Developer,NGO,226038,Lucknow
S143,Male,BCA,Networking,Tech University,2020,8.4,No,No,ML,Unemployed,NA,NA,0,Patna
S144,Female,MBA,Operations,City College,2022,9.0,Yes,Yes,"HTML, Content Writing, ML",Unemployed,NA,NA,0,Kolkata
S145,Male,BA,History,Elite Institute,2022,8.7,Yes,Yes,Python,Unemployed,NA,NA,0,Hyderabad
S146,Male,BCA,Networking,Govt College,2021,7.0,No,No,"Python, AI, CSS",Employed,Web Developer,Startup,397671,Delhi
S147,Male,MBA,Marketing,Govt College,2021,8.7,No,No,"JavaScript, Python",Unemployed,NA,NA,0,Kolkata
S148,Female,B.Com,Taxation,Tech University,2022,7.7,Yes,No,"Tally, SQL",Unemployed,NA,NA,0,Lucknow
S149,Male,B.Sc,Computer Science,City College,2021,5.5,No,Yes,Excel,Unemployed,NA,NA,0,Pune
S150,Male,B.Com,Taxation,Elite Institute,2024,6.4,Yes,Yes,"Financial Modeling, Tally",Unemployed,NA,NA,0,Varanasi
S151,Female,MBA,Operations,City College,2024,8.8,No,Yes,"CSS, AI, Python",Employed,Financial Analyst,Startup,935312,Bangalore
S152,Female,MBA,Operations,Tech University,2024,7.5,Yes,No,ML,Unemployed,NA,NA,0,Coimbatore
S153,Male,B.Tech,Computer Science,Tech University,2023,6.1,Yes,Yes,"Embedded Systems, CSS, ML",Unemployed,NA,NA,0,Kolkata
S154,Female,B.Tech,Data Science,XYZ Engineering,2023,7.8,Yes,No,ML,Unemployed,NA,NA,0,Chennai
S155,Female,B.Tech,Data Science,Tech University,2024,9.1,No,No,Financial Modeling,Unemployed,NA,NA,0,Indore
S156,Female,B.Com,Taxation,Elite Institute,2021,7.7,No,Yes,"Power BI, AI",Unemployed,NA,NA,0,Indore
S157,Male,BCA,Networking,Sunrise College,2020,5.7,No,No,Power BI,Unemployed,NA,NA,0,Pune
S158,Female,BA,Economics,Sunrise College,2021,9.5,Yes,Yes,"Excel, AI, ML",Employed,Marketing Executive,NGO,847571,Pune
S159,Female,MBA,Finance,XYZ Engineering,2021,5.1,No,No,Tally,Unemployed,NA,NA,0,Vizag
S160,Female,BA,History,Govt College,2022,5.3,Yes,No,"Excel, AI",Employed,Financial Analyst,Private,546811,Pune
S161,Female,B.Sc,Computer Science,Sunrise College,2020,6.8,Yes,No,AutoCAD,Unemployed,NA,NA,0,Kolkata
S162,Female,B.Sc,Chemistry,Sunrise College,2024,9.5,No,No,CSS,Unemployed,NA,NA,0,Varanasi
S163,Male,MBA,Operations,City College,2023,7.9,No,No,"Embedded Systems, SQL, JavaScript",Employed,Accountant,Startup,921399,Indore
S164,Male,B.Tech,ECE,Tech University,2021,9.4,No,No,"ML, AI",Employed,Software Engineer,Private,506306,Mumbai
S165,Female,BA,Psychology,Tech University,2024,6.9,Yes,No,Embedded Systems,Unemployed,NA,NA,0,Chennai
S166,Male,BCA,IT,XYZ Engineering,2020,8.3,Yes,No,"AI, Financial Modeling",Unemployed,NA,NA,0,Jaipur
S167,Male,B.Tech,ECE,Sunrise College,2023,8.8,No,No,ML,Unemployed,NA,NA,0,Lucknow
S168,Male,BCA,Networking,ABC College,2023,5.5,Yes,No,SQL,Employed,Financial Analyst,Private,573095,Vizag
S169,Male,B.Sc,Computer Science,XYZ Engineering,2021,6.1,No,Yes,"Excel, Financial Modeling",Unemployed,NA,NA,0,Lucknow
S170,Female,MBA,HR,City College,2022,9.5,No,Yes,Tally,Unemployed,NA,NA,0,Hyderabad
S171,Male,B.Com,Finance,ABC College,2024,6.5,No,Yes,JavaScript,Employed,Accountant,MNC,508515,Bangalore
S172,Female,B.Sc,Computer Science,XYZ Engineering,2022,5.2,No,No,"AI, Power BI",Employed,Research Assistant,MNC,487232,Delhi
S173,Male,MBA,HR,ABC College,2022,6.7,No,No,HTML,Unemployed,NA,NA,0,Bangalore
S174,Female,MBA,Finance,XYZ Engineering,2024,8.0,No,No,CSS,Unemployed,NA,NA,0,Pune
S175,Female,B.Com,Accounting,Elite Institute,2024,5.9,No,No,"Tally, Embedded Systems",Employed,ML Engineer,Startup,731330,Vizag
S176,Female,BCA,Software,Sunrise College,2022,9.4,No,Yes,HTML,Unemployed,NA,NA,0,Coimbatore
S177,Male,B.Sc,Physics,ABC College,2024,5.2,Yes,Yes,"Content Writing, CSS",Unemployed,NA,NA,0,Vizag
S178,Female,BA,Psychology,Elite Institute,2024,8.7,Yes,Yes,"Excel, Content Writing, AutoCAD",Unemployed,NA,NA,0,Hyderabad
S179,Male,MBA,HR,Govt College,2023,7.6,No,No,Financial Modeling,Unemployed,NA,NA,0,Kolkata
S180,Male,BCA,Networking,Sunrise College,2020,7.7,No,Yes,AI,Employed,Web Developer,Private,235481,Varanasi
S181,Male,BA,Economics,Sunrise College,2024,6.8,Yes,No,"Python, Excel, AI",Unemployed,NA,NA,0,Mumbai
S182,Male,BCA,Software,Govt College,2021,8.2,No,No,"CSS, Content Writing, HTML",Employed,HR Executive,NGO,875030,Delhi
S183,Female,B.Tech,Mechanical,ABC College,2023,8.3,No,Yes,Power BI,Unemployed,NA,NA,0,Patna
S184,Female,BCA,Software,Sunrise College,2020,6.3,Yes,No,"AutoCAD, CSS, SQL",Unemployed,NA,NA,0,Mumbai
S185,Female,B.Sc,Chemistry,ABC College,2021,8.9,No,No,"ML, AutoCAD, JavaScript",Employed,Marketing Executive,NGO,834194,Hyderabad
S186,Female,B.Sc,Computer Science,Elite Institute,2021,7.9,No,Yes,Financial Modeling,Employed,HR Executive,NGO,1095092,Guntur
S187,Female,BA,English,Govt College,2020,5.4,Yes,Yes,"SQL, ML",Unemployed,NA,NA,0,Chennai
S188,Male,BCA,IT,ABC College,2021,9.3,Yes,No,"AI, ML, JavaScript",Unemployed,NA,NA,0,Kolkata
S189,Female,BCA,Software,ABC College,2022,9.3,Yes,No,"SQL, ML, Excel",Employed,HR Executive,MNC,390240,Guntur
S190,Female,B.Sc,Mathematics,Sunrise College,2024,8.2,No,Yes,"Power BI, AutoCAD, Financial Modeling",Unemployed,NA,NA,0,Coimbatore
S191,Male,B.Sc,Physics,Govt College,2023,8.6,No,No,"CSS, HTML",Employed,Web Developer,MNC,558486,Lucknow
S192,Male,BCA,Networking,XYZ Engineering,2022,6.0,Yes,No,"Excel, HTML, AutoCAD",Unemployed,NA,NA,0,Mumbai
S193,Female,B.Com,Taxation,XYZ Engineering,2023,8.1,No,No,"Python, ML, Content Writing",Unemployed,NA,NA,0,Lucknow
S194,Male,B.Com,Accounting,Elite Institute,2021,9.0,No,Yes,"Power BI, ML",Unemployed,NA,NA,0,Patna
S195,Female,MBA,Marketing,XYZ Engineering,2023,7.0,No,Yes,"Power BI, Excel",Unemployed,NA,NA,0,Vizag
S196,Female,B.Sc,Mathematics,Elite Institute,2023,8.2,Yes,Yes,"JavaScript, Excel",Unemployed,NA,NA,0,Lucknow
S197,Female,BCA,Networking,Govt College,2020,9.4,Yes,Yes,"Python, SQL",Unemployed,NA,NA,0,Kolkata
S198,Female,BCA,Software,Elite Institute,2023,7.0,No,No,Content Writing,Unemployed,NA,NA,0,Hyderabad
S199,Male,B.Tech,Data Science,Tech University,2020,6.3,Yes,Yes,"SQL, AI, CSS",Unemployed,NA,NA,0,Indore
S200,Male,BA,English,Govt College,2022,5.4,Yes,No,ML,Employed,Marketing Executive,Startup,470990,Varanasi
S201,Female,B.Com,Finance,ABC College,2021,8.1,Yes,No,"SQL, Tally",Employed,ML Engineer,Startup,1057710,Lucknow
S202,Male,MBA,HR,Elite Institute,2022,6.6,No,Yes,"JavaScript, Embedded Systems",Employed,Accountant,NGO,369393,Varanasi
S203,Male,B.Sc,Chemistry,Tech University,2023,8.3,Yes,No,"Tally, CSS, JavaScript",Unemployed,NA,NA,0,Chennai
S204,Female,B.Sc,Mathematics,City College,2021,7.2,Yes,Yes,"Python, ML, Financial Modeling",Employed,HR Executive,NGO,831187,Guntur
S205,Female,BA,Psychology,Sunrise College,2022,8.8,No,Yes,"Financial Modeling, Excel, CSS",Unemployed,NA,NA,0,Jaipur
S206,Male,B.Com,Taxation,Elite Institute,2023,8.4,No,No,"HTML, ML",Unemployed,NA,NA,0,Coimbatore
S207,Male,MBA,Operations,City College,2023,7.8,Yes,Yes,Power BI,Unemployed,NA,NA,0,Kolkata
S208,Female,BA,Economics,ABC College,2023,6.1,No,Yes,"AutoCAD, Content Writing",Unemployed,NA,NA,0,Delhi
S209,Male,BCA,Software,XYZ Engineering,2022,5.5,No,Yes,"Financial Modeling, JavaScript",Unemployed,NA,NA,0,Guntur
S210,Female,BCA,Software,ABC College,2024,5.4,Yes,No,JavaScript,Unemployed,NA,NA,0,Mumbai
S211,Female,B.Tech,Civil,ABC College,2024,8.9,No,No,"SQL, AutoCAD",Unemployed,NA,NA,0,Vizag
S212,Male,B.Tech,AI & ML,Govt College,2020,8.9,Yes,No,"SQL, Financial Modeling, AutoCAD",Unemployed,NA,NA,0,Guntur
S213,Female,BCA,IT,XYZ Engineering,2024,7.1,Yes,Yes,"Excel, Power BI, Content Writing",Unemployed,NA,NA,0,Indore
S214,Male,B.Sc,Mathematics,Elite Institute,2023,7.1,No,No,"Financial Modeling, Excel",Unemployed,NA,NA,0,Varanasi
